Sun Apr 30 09:07:11 EDT 2017, 100, 0.000, 1, 1, 0.000, 300, 10, 1, 0, 10, 2.227, 2.233
Sun Apr 30 09:08:11 EDT 2017, 5050, 0.500, 5000, 5, 0.500, 450, 55, 10, 25, 55, 48.713, 59.017
Sun Apr 30 09:08:44 EDT 2017, 7525, 0.250, 7500, 3, 0.750, 375, 77, 5, 12, 77, 23.727, 31.937
Sun Apr 30 09:09:29 EDT 2017, 2575, 0.750, 2500, 7, 0.250, 525, 32, 15, 37, 32, 37.640, 44.483
Sun Apr 30 09:09:50 EDT 2017, 3812, 0.370, 6250, 2, 0.870, 562, 21, 12, 6, 88, 15.123, 20.217
Sun Apr 30 09:10:08 EDT 2017, 8762, 0.870, 1250, 6, 0.370, 412, 66, 3, 31, 43, 14.473, 17.633
Sun Apr 30 09:11:03 EDT 2017, 6287, 0.120, 3750, 4, 0.120, 487, 88, 17, 18, 21, 42.320, 54.940
Sun Apr 30 09:11:51 EDT 2017, 1337, 0.620, 8750, 8, 0.620, 337, 43, 8, 43, 66, 40.883, 46.937
Sun Apr 30 09:11:55 EDT 2017, 1956, 0.310, 3125, 7, 0.560, 356, 15, 18, 9, 15, 2.547, 3.410
Sun Apr 30 09:12:58 EDT 2017, 6906, 0.810, 8125, 2, 0.060, 506, 60, 9, 34, 60, 49.993, 62.017
Sun Apr 30 09:16:22 EDT 2017, 9381, 0.060, 5625, 9, 0.310, 431, 83, 14, 21, 83, 160.210, 199.757
Sun Apr 30 09:16:40 EDT 2017, 4431, 0.560, 625, 4, 0.810, 581, 38, 4, 46, 38, 16.297, 18.073
Sun Apr 30 09:17:00 EDT 2017, 3193, 0.180, 9375, 6, 0.430, 543, 26, 6, 3, 94, 12.287, 19.130
Sun Apr 30 09:17:43 EDT 2017, 8143, 0.680, 4375, 1, 0.930, 393, 71, 16, 28, 49, 37.360, 42.347
Sun Apr 30 09:17:51 EDT 2017, 5668, 0.430, 1875, 8, 0.680, 468, 94, 2, 15, 26, 6.597, 8.140
Sun Apr 30 09:18:53 EDT 2017, 718, 0.930, 6875, 3, 0.180, 318, 49, 11, 40, 71, 50.680, 61.233
Sun Apr 30 09:20:31 EDT 2017, 1028, 0.460, 8437, 4, 0.280, 403, 57, 17, 39, 46, 82.260, 96.610
Sun Apr 30 09:20:44 EDT 2017, 5978, 0.960, 3438, 9, 0.780, 553, 12, 7, 14, 91, 10.150, 12.553
Sun Apr 30 09:21:13 EDT 2017, 8453, 0.210, 938, 2, 0.530, 328, 35, 12, 26, 69, 23.660, 28.813
Sun Apr 30 09:21:17 EDT 2017, 3503, 0.710, 5937, 6, 0.030, 478, 80, 2, 1, 24, 2.857, 4.347
Sun Apr 30 09:22:52 EDT 2017, 4740, 0.090, 4688, 3, 0.650, 515, 69, 9, 45, 57, 83.003, 94.287
Sun Apr 30 09:23:00 EDT 2017, 9690, 0.590, 9687, 8, 0.150, 365, 24, 19, 20, 12, 5.993, 7.690
Sun Apr 30 09:23:11 EDT 2017, 7215, 0.340, 7187, 1, 0.400, 590, 46, 5, 32, 35, 8.527, 10.267
Sun Apr 30 09:24:56 EDT 2017, 2265, 0.840, 2188, 5, 0.900, 440, 91, 14, 7, 80, 96.023, 103.293
Sun Apr 30 09:25:23 EDT 2017, 1646, 0.150, 5312, 8, 0.840, 421, 63, 3, 48, 52, 24.213, 26.677
Sun Apr 30 09:26:11 EDT 2017, 6596, 0.650, 313, 4, 0.340, 571, 18, 13, 23, 97, 38.510, 47.543
Sun Apr 30 09:26:57 EDT 2017, 9071, 0.400, 2813, 6, 0.090, 346, 40, 8, 35, 74, 37.413, 45.337
Sun Apr 30 09:27:28 EDT 2017, 4121, 0.900, 7812, 1, 0.590, 496, 85, 18, 10, 29, 21.960, 30.797
Sun Apr 30 09:29:58 EDT 2017, 2884, 0.280, 1563, 9, 0.210, 459, 74, 11, 42, 63, 129.810, 147.457
Sun Apr 30 09:29:59 EDT 2017, 7834, 0.780, 6562, 5, 0.710, 309, 29, 1, 17, 18, 0.610, 0.680
